sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,avg_grade,alc
F,16,LE3,A,2,2,other,other,mother,1,0,no,yes,no,no,no,no,4,3,4,1,6,7.333333333333333,0.0
F,16,LE3,T,2,2,other,other,mother,2,1,no,yes,no,yes,yes,yes,3,3,3,3,25,9.333333333333334,0.0
M,18,GT3,T,4,2,other,other,father,1,1,no,no,yes,no,yes,no,5,4,3,3,14,5.333333333333333,1.0
M,16,GT3,T,2,1,other,other,mother,1,0,no,no,no,no,yes,no,4,3,3,4,7,15.666666666666666,0.0
F,17,GT3,T,2,1,at_home,services,mother,2,0,no,yes,no,yes,yes,no,4,2,5,5,2,6.0,0.0
M,16,GT3,T,3,3,at_home,other,other,2,0,yes,yes,no,no,yes,no,5,3,3,2,6,9.0,1.0
F,17,GT3,T,1,1,other,other,father,1,1,no,yes,no,no,no,no,5,4,4,5,0,6.333333333333333,1.0
F,16,GT3,T,1,1,other,other,father,4,0,no,yes,no,no,yes,no,4,3,2,1,0,12.0,0.0
M,16,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,yes,no,3,4,3,3,10,8.333333333333334,1.0
M,15,GT3,T,4,3,teacher,at_home,mother,2,0,no,yes,no,yes,yes,yes,4,5,2,5,0,16.333333333333332,0.0
F,16,GT3,T,4,4,health,health,mother,2,0,no,yes,yes,no,yes,yes,4,4,2,3,0,14.0,0.0
F,17,GT3,T,2,4,services,services,father,2,0,no,yes,no,yes,yes,no,5,4,2,5,0,16.666666666666668,1.0
M,15,LE3,T,3,3,at_home,at_home,father,2,0,no,yes,no,yes,yes,no,5,3,3,5,0,11.0,0.0
F,17,GT3,T,3,2,health,health,father,4,0,no,yes,no,yes,yes,no,5,2,2,5,0,18.0,0.0
M,18,LE3,T,3,1,services,services,mother,1,0,no,no,no,yes,yes,yes,3,3,4,4,2,11.333333333333334,1.0
F,16,GT3,T,4,4,services,services,mother,3,0,no,yes,no,yes,yes,no,3,2,3,2,10,13.333333333333334,0.0
F,16,GT3,T,4,4,teacher,teacher,mother,3,0,no,no,no,yes,yes,yes,4,2,2,4,6,16.333333333333332,0.0
F,15,LE3,T,3,1,other,other,father,4,0,no,yes,no,no,yes,no,4,4,2,3,12,16.0,1.0
M,16,GT3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,16,11.0,1.0
F,16,GT3,T,1,1,other,services,mother,1,0,no,yes,no,yes,yes,yes,3,3,3,1,8,11.333333333333334,0.0
M,18,GT3,T,4,3,teacher,other,mother,3,0,no,yes,no,no,yes,yes,5,4,5,5,0,13.666666666666666,1.0
F,18,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,no,no,yes,no,4,3,3,2,0,18.0,0.0
M,18,GT3,T,2,1,services,services,mother,1,2,no,no,no,no,no,no,3,2,5,5,4,7.0,1.0
F,16,GT3,T,2,2,at_home,other,mother,2,1,yes,no,no,yes,yes,no,3,1,2,5,12,9.333333333333334,0.0
F,17,GT3,T,3,4,services,other,mother,3,0,no,no,no,no,yes,no,4,4,5,5,16,15.333333333333334,1.0
M,15,GT3,T,2,2,services,services,father,1,0,yes,yes,no,no,yes,no,5,4,1,1,0,9.0,0.0
M,20,GT3,A,3,2,services,other,other,1,0,no,no,no,yes,yes,no,5,5,3,5,0,17.666666666666668,0.0
F,17,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,no,yes,yes,no,4,4,4,5,2,16.0,0.0
M,17,GT3,T,1,1,at_home,services,mother,2,0,no,no,no,no,yes,yes,5,1,3,1,0,10.0,1.0
F,15,GT3,T,4,4,teacher,health,mother,2,0,no,yes,yes,no,yes,no,3,3,3,2,0,9.0,0.0
F,16,LE3,T,2,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,4,2,6,11.666666666666666,0.0
F,15,GT3,T,3,3,services,services,other,3,2,no,yes,yes,yes,yes,yes,4,2,1,3,8,10.0,1.0
F,16,GT3,T,4,3,other,at_home,mother,3,0,yes,yes,yes,no,yes,no,5,3,5,3,0,8.0,0.0
F,18,GT3,T,2,2,other,other,mother,2,0,yes,no,no,no,yes,no,3,2,3,5,4,11.666666666666666,0.0
M,17,GT3,T,2,3,other,other,father,1,0,no,no,no,no,yes,no,5,2,2,2,2,11.333333333333334,0.0
M,17,GT3,T,4,4,health,other,father,1,3,no,no,no,yes,yes,yes,3,3,3,5,2,8.666666666666666,1.0
F,17,GT3,T,4,4,health,health,mother,1,0,no,no,no,yes,yes,no,5,3,4,5,2,15.333333333333334,0.0
F,16,GT3,T,2,1,other,other,mother,2,0,no,yes,no,no,yes,yes,4,3,5,5,0,12.333333333333334,0.0
M,17,LE3,A,1,0,other,other,mother,1,0,no,no,no,no,yes,yes,4,1,2,5,4,11.333333333333334,0.0
F,16,GT3,T,4,4,teacher,services,mother,3,0,no,yes,no,yes,yes,no,5,3,2,5,0,13.333333333333334,0.0
M,15,GT3,A,3,4,services,other,mother,2,0,no,yes,no,yes,yes,no,5,4,4,1,0,16.0,0.0
F,17,LE3,T,4,4,at_home,at_home,mother,2,0,no,yes,no,yes,yes,yes,2,3,4,1,4,14.666666666666666,0.0
M,18,LE3,T,3,2,services,other,mother,1,0,no,no,no,no,yes,no,4,4,1,5,4,10.666666666666666,1.0
F,17,GT3,T,4,3,teacher,other,mother,3,0,no,yes,no,yes,yes,yes,4,4,2,4,0,11.666666666666666,0.0
F,18,GT3,T,3,2,services,other,mother,2,0,no,yes,no,yes,yes,yes,3,1,2,1,4,12.0,0.0
M,15,GT3,T,4,4,services,other,mother,1,0,no,yes,yes,yes,yes,no,5,3,3,5,2,12.333333333333334,0.0
M,18,LE3,T,2,1,services,other,mother,2,1,no,no,no,yes,no,no,4,4,5,5,4,10.666666666666666,1.0
F,17,LE3,T,1,1,other,services,father,3,0,no,yes,no,no,yes,yes,4,3,3,3,0,10.666666666666666,0.0
F,16,LE3,T,1,1,at_home,at_home,mother,1,0,no,no,no,no,yes,no,3,4,4,1,4,10.666666666666666,1.0
M,21,LE3,T,1,1,at_home,other,other,2,2,no,yes,no,yes,no,yes,5,3,3,4,21,9.666666666666666,1.0
M,16,GT3,T,4,4,teacher,teacher,mother,1,0,no,yes,no,no,no,yes,3,3,2,5,16,8.666666666666666,0.0
M,16,GT3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,4,11.666666666666666,1.0
F,18,GT3,T,2,2,services,other,mother,3,0,no,no,no,no,yes,yes,4,2,1,4,5,14.333333333333334,0.0
F,17,GT3,T,1,1,at_home,other,mother,3,0,no,yes,no,yes,yes,yes,4,3,4,5,12,12.0,0.0
M,15,LE3,T,1,3,at_home,other,father,1,0,no,yes,no,yes,yes,no,4,2,4,3,2,10.666666666666666,1.0
F,17,GT3,T,3,2,other,other,mother,2,0,no,yes,no,no,yes,yes,4,3,2,2,0,13.333333333333334,1.0
F,20,GT3,T,4,2,health,other,other,3,2,no,yes,yes,no,yes,yes,5,4,3,3,4,14.666666666666666,0.0
F,18,GT3,T,2,2,at_home,services,mother,3,0,no,yes,yes,yes,yes,yes,4,3,3,3,0,6.333333333333333,0.0
M,17,GT3,T,2,2,other,other,father,2,0,no,yes,yes,yes,yes,no,4,5,2,1,4,11.0,0.0
F,15,GT3,T,4,4,teacher,other,mother,1,0,no,no,no,no,yes,yes,1,5,1,5,0,13.666666666666666,1.0
F,17,GT3,T,4,3,health,other,mother,3,0,no,yes,no,yes,yes,yes,4,4,3,4,0,12.0,1.0
M,16,GT3,T,3,2,services,services,mother,1,1,no,yes,no,yes,no,no,4,5,2,2,16,11.666666666666666,0.0
F,15,GT3,T,3,4,services,health,mother,3,0,yes,yes,yes,yes,yes,no,4,3,2,5,2,11.666666666666666,0.0
F,18,GT3,T,4,4,teacher,other,mother,2,0,no,no,no,yes,yes,no,4,3,4,4,8,11.0,1.0
