sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
F,15,GT3,T,4,4,services,services,mother,1,0,yes,yes,no,no,yes,no,3,3,4,2,3,5,0,13,12,12
F,15,LE3,A,3,3,other,other,mother,1,0,no,no,no,no,yes,no,5,3,4,4,4,1,0,13,12,13
F,16,GT3,A,2,1,other,other,mother,2,0,no,no,no,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
F,15,GT3,A,4,3,services,services,mother,2,0,no,yes,no,yes,yes,no,4,3,2,1,1,1,0,15,14,15
M,15,GT3,T,4,4,teacher,health,mother,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,8,15,15,16
M,15,LE3,T,1,2,other,at_home,father,2,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,14,13,14
F,16,GT3,T,4,2,services,other,mother,2,0,no,yes,yes,no,yes,no,4,2,3,1,1,5,2,16,15,16
F,16,GT3,T,4,4,health,teacher,mother,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,0,17,16,16
F,16,GT3,T,1,1,services,services,father,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
F,16,LE3,T,1,2,other,services,father,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,0,13,13,10
F,16,GT3,T,4,3,teacher,health,mother,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,14,13,13
F,15,LE3,T,4,3,services,services,father,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
F,16,LE3,T,4,3,teacher,services,mother,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,16
M,15,GT3,A,4,4,other,services,mother,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
F,16,GT3,T,3,1,services,other,mother,4,0,yes,yes,no,no,yes,no,4,3,3,1,2,5,0,10,9,10
F,15,LE3,T,2,2,health,services,mother,2,0,yes,yes,no,no,yes,no,4,1,3,1,3,4,0,11,10,11
F,15,LE3,T,3,1,other,other,father,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,6,15,15,15
M,16,GT3,T,3,1,other,other,father,4,0,no,yes,no,no,yes,no,4,3,2,1,1,5,2,13,11,11
M,15,GT3,T,4,2,other,other,mother,4,0,no,no,no,no,yes,no,3,3,3,1,1,3,0,11,9,10
F,15,GT3,T,1,1,other,other,mother,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,13,11,11
M,16,GT3,T,3,1,other,other,mother,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,0,13,13,14
F,16,GT3,T,3,3,other,services,mother,2,0,yes,yes,no,yes,yes,no,4,3,3,2,4,5,4,11,11,11
M,15,GT3,T,4,3,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,3,3,2,3,5,0,11,11,11
M,15,GT3,T,4,0,teacher,other,mother,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,0,12,11,11
F,16,GT3,T,2,2,other,other,mother,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,13,13,13
M,17,GT3,T,2,1,other,other,mother,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,0,9,9,10
F,16,GT3,T,3,4,at_home,other,mother,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,14,12,11,11
M,15,GT3,T,2,3,other,services,father,1,0,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12
M,15,GT3,T,2,3,other,other,mother,3,0,yes,no,no,no,yes,no,5,3,2,1,2,5,2,10,9,9
F,15,LE3,T,3,2,services,other,mother,2,0,no,yes,no,no,yes,no,4,4,4,1,1,5,4,12,11,11
M,15,LE3,T,2,2,services,services,mother,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
F,15,GT3,T,1,1,other,other,father,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
F,15,GT3,T,4,4,services,services,father,2,0,no,no,no,no,yes,yes,4,4,4,2,3,5,4,12,11,12
F,16,LE3,T,2,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,6,13,11,11
F,15,GT3,T,4,2,other,other,mother,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,15,15,15
M,16,GT3,T,2,2,services,other,father,2,0,no,no,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
M,16,LE3,A,4,4,teacher,health,mother,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,6,9,9,10
F,16,GT3,T,3,3,other,other,mother,3,0,no,yes,no,no,yes,yes,4,3,3,1,3,4,2,9,11,11
F,15,GT3,T,4,3,services,other,mother,1,0,no,no,no,yes,yes,no,4,5,5,1,3,1,6,14,13,13
F,16,LE3,T,3,1,other,other,father,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,0,12,13,12
F,16,GT3,T,4,2,teacher,services,mother,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,13,14,14
M,15,LE3,T,2,2,services,health,mother,4,0,no,yes,no,yes,yes,no,4,3,4,1,1,4,2,11,12,12
F,15,GT3,T,1,1,at_home,other,mother,4,0,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
M,16,GT3,T,4,3,services,other,mother,1,0,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6,9,11,11
F,16,GT3,T,2,1,other,other,mother,2,0,no,yes,no,no,yes,yes,4,3,5,1,1,5,0,13,12,12
F,16,GT3,T,4,4,other,other,mother,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
F,16,GT3,T,4,3,other,at_home,mother,3,0,yes,yes,no,no,yes,no,5,3,5,1,1,3,2,12,13,13
M,16,GT3,T,4,4,services,services,mother,1,0,yes,yes,no,yes,yes,no,4,5,5,5,5,4,12,9,9,8
M,16,GT3,T,4,4,services,teacher,father,3,0,no,yes,no,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
M,15,GT3,T,4,4,services,other,mother,1,0,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,13,12
F,15,GT3,T,3,2,services,other,mother,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,11,10,10
M,15,GT3,A,3,4,services,other,mother,2,0,no,yes,no,yes,yes,no,5,4,4,1,1,1,0,16,16,16
F,15,GT3,A,3,3,other,health,father,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,10,10
F,15,GT3,T,2,2,other,other,mother,4,0,yes,yes,no,no,yes,no,5,1,2,1,1,3,4,10,10,10
M,16,GT3,T,3,3,services,other,father,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,13,14,14
M,15,GT3,T,4,4,other,other,father,4,0,no,yes,no,yes,yes,yes,1,3,5,3,5,1,8,12,10,11
F,16,LE3,T,4,4,health,health,mother,3,0,no,yes,no,yes,yes,yes,5,4,5,1,1,4,2,15,15,14
M,15,LE3,A,4,4,teacher,teacher,mother,1,0,no,no,no,yes,yes,no,5,5,3,1,1,4,4,13,14,14
F,16,GT3,T,3,3,services,other,father,3,0,yes,yes,no,yes,yes,no,4,1,2,1,1,2,4,11,11,11
F,16,GT3,T,2,2,at_home,other,mother,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,12,8,10,10
M,15,LE3,T,4,2,teacher,other,mother,1,0,no,no,no,no,yes,no,3,5,2,1,1,3,10,18,17,18
M,15,GT3,T,2,1,health,services,mother,2,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,4,10,9,10
M,16,GT3,T,4,4,teacher,teacher,father,2,0,no,yes,no,yes,yes,no,5,4,4,1,2,5,6,16,14,14
M,15,GT3,T,4,4,other,teacher,father,2,0,no,yes,no,yes,yes,no,4,4,3,1,1,2,4,16,15,16
M,16,GT3,T,3,3,other,services,father,1,0,no,no,no,yes,yes,no,5,4,2,1,1,5,6,14,14,15
M,17,GT3,T,1,3,other,other,father,2,1,no,yes,no,yes,yes,no,5,2,4,1,4,5,14,12,11,11
M,15,GT3,T,3,4,other,other,father,1,0,no,no,no,no,yes,no,3,4,3,1,2,4,2,14,13,14
F,15,GT3,T,1,2,at_home,services,mother,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,0,14,14,14
M,15,GT3,T,2,2,services,services,father,4,0,no,yes,no,yes,yes,no,5,5,4,1,2,5,6,14,13,13
F,16,LE3,T,2,4,other,health,father,2,0,no,yes,no,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
M,16,GT3,T,4,4,health,other,mother,1,0,no,yes,no,yes,yes,no,3,4,4,1,4,5,4,12,13,13
F,16,GT3,T,2,2,other,other,mother,2,0,no,no,no,no,yes,yes,5,4,4,1,1,5,0,12,11,11
M,15,GT3,T,3,4,services,services,father,1,0,yes,no,no,no,yes,no,5,5,5,3,2,5,2,9,9,9
F,15,LE3,A,3,4,other,other,mother,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,10,11,11
F,19,GT3,T,0,1,at_home,other,other,2,2,no,yes,no,no,no,no,3,4,2,1,1,5,0,9,10,11
M,16,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,no,yes,yes,no,3,5,5,2,5,4,8,14,14,15
M,16,GT3,T,2,3,other,other,mother,3,0,no,yes,no,no,yes,yes,3,2,3,2,2,1,4,13,12,13
F,15,GT3,T,3,4,services,teacher,father,3,0,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,10,11,12
F,18,GT3,T,2,1,services,other,mother,2,3,no,yes,no,yes,no,yes,5,4,5,1,3,5,10,10,9,8
F,17,LE3,A,2,1,other,other,mother,1,0,no,yes,no,no,yes,no,3,2,2,1,2,5,8,11,10,11
F,15,GT3,T,1,1,at_home,other,mother,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13
F,17,LE3,T,2,2,other,other,father,1,0,no,yes,no,no,yes,yes,3,4,4,1,3,5,2,13,12,12
F,16,GT3,A,3,4,services,other,father,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,12,15,13,14
M,16,GT3,T,2,1,at_home,other,mother,1,0,no,no,no,no,yes,no,3,2,1,1,1,2,4,9,9,11
F,16,GT3,A,2,2,other,other,mother,1,1,no,no,no,no,yes,no,5,3,4,1,1,5,12,13,11,11
M,15,GT3,T,3,4,at_home,teacher,mother,2,0,no,yes,no,no,yes,yes,5,3,3,1,1,5,2,12,11,11
F,15,GT3,T,4,4,services,at_home,mother,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,4,13,14,15
M,17,GT3,T,3,4,at_home,other,mother,2,0,no,no,no,no,yes,no,5,4,5,2,4,5,2,10,9,10
F,16,GT3,T,1,1,at_home,other,mother,2,0,no,yes,no,no,yes,no,5,1,3,1,1,3,0,14,13,13
M,18,LE3,T,3,1,services,services,mother,1,0,no,no,no,yes,yes,yes,3,3,4,4,5,4,2,11,11,12
F,18,GT3,A,3,2,other,services,other,3,0,no,yes,no,yes,yes,yes,4,3,3,5,1,5,10,12,11,11
F,16,GT3,T,1,1,other,services,mother,1,0,no,yes,no,yes,yes,yes,3,3,3,1,2,1,8,12,11,11
F,16,GT3,A,3,3,other,other,other,1,0,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10
M,16,LE3,T,1,1,services,other,mother,2,2,no,no,no,no,yes,yes,4,4,4,1,3,5,0,10,10,10
F,15,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,14,14
F,15,GT3,T,1,1,other,other,mother,1,1,no,no,no,yes,yes,yes,5,5,5,1,1,1,2,8,9,9
M,15,GT3,T,4,3,teacher,services,father,4,0,yes,yes,no,no,yes,no,2,2,2,1,1,3,6,9,11,11
F,15,GT3,A,3,3,services,services,mother,2,0,no,no,no,no,yes,yes,1,3,2,2,3,1,24,9,8,9
M,16,GT3,T,4,4,services,services,mother,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,5,0,15,13,13
M,16,LE3,T,2,2,services,services,father,1,0,no,yes,no,yes,yes,no,2,3,3,2,2,2,4,12,11,11
F,15,GT3,T,4,4,teacher,services,mother,3,0,no,yes,no,yes,yes,no,4,2,2,1,1,5,2,13,13,13
F,16,LE3,T,1,1,at_home,at_home,mother,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,4,10,11,11
M,17,GT3,T,2,1,other,other,mother,1,0,no,yes,no,no,yes,no,5,4,5,1,2,5,22,9,7,6
F,15,GT3,T,1,1,other,services,father,2,0,no,yes,no,no,yes,no,4,4,2,1,2,5,0,12,12,12
F,15,LE3,A,2,1,at_home,other,mother,1,0,no,yes,no,yes,no,yes,4,4,2,1,1,5,0,11,10,10
F,15,GT3,T,3,2,health,services,father,2,1,no,yes,no,no,yes,no,3,3,2,1,1,3,2,11,11,11
F,15,GT3,T,1,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,2,1,1,5,6,13,12,13
F,15,GT3,T,1,2,at_home,services,father,2,0,no,no,no,no,yes,yes,2,3,4,2,4,1,6,11,11,11
M,16,GT3,T,4,4,teacher,teacher,mother,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,16,9,9,8
M,15,LE3,A,2,1,services,other,mother,1,0,no,no,no,no,yes,no,4,5,5,2,5,5,0,12,11,11
M,18,LE3,T,1,1,other,other,mother,1,2,no,no,no,no,no,yes,2,3,5,2,5,4,0,11,9,0
M,16,LE3,T,2,1,at_home,other,mother,1,1,no,no,no,yes,yes,yes,4,4,4,3,5,5,6,9,10,10
F,15,GT3,T,3,3,services,services,other,3,0,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13
M,19,GT3,T,3,2,services,at_home,mother,1,0,no,yes,no,no,no,yes,4,5,4,1,1,4,6,11,9,11
F,17,GT3,T,4,4,other,teacher,mother,1,0,yes,yes,no,no,yes,yes,4,2,1,1,1,4,0,13,13,13
M,15,GT3,T,2,3,at_home,services,mother,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,0,7,8,8
M,17,LE3,T,1,2,other,other,mother,1,3,no,no,no,no,yes,no,2,2,2,3,3,5,14,9,8,10
F,18,GT3,T,1,1,at_home,other,mother,1,3,no,yes,no,yes,yes,no,5,2,5,1,5,4,6,11,10,11
M,16,GT3,T,2,2,at_home,other,mother,1,0,no,no,no,no,yes,no,4,2,2,1,2,3,4,12,10,11
M,16,GT3,T,3,3,other,services,father,2,1,no,yes,no,no,yes,yes,4,5,5,4,4,5,0,10,10,1
M,16,LE3,T,1,2,health,services,mother,1,2,no,no,no,no,yes,no,4,4,5,3,5,5,0,9,8,10
M,17,LE3,T,2,1,at_home,other,mother,1,1,no,no,yes,yes,no,yes,3,3,2,2,2,5,8,8,8,9
M,17,GT3,T,3,2,other,other,mother,2,2,yes,yes,no,no,yes,yes,4,4,4,1,4,3,4,7,6,8
M,15,LE3,T,1,2,other,other,mother,1,0,no,no,no,yes,yes,no,4,4,4,2,4,5,2,8,9,10
M,16,GT3,T,1,3,at_home,services,father,1,1,no,no,no,no,no,no,5,3,3,1,4,2,2,9,8,8
M,17,LE3,T,1,1,other,services,mother,2,0,no,no,no,yes,no,yes,5,3,5,1,5,5,0,8,8,8
M,17,GT3,T,3,2,services,services,mother,1,3,no,yes,no,yes,no,no,4,5,2,1,1,2,10,8,7,8
M,16,GT3,T,2,2,other,other,father,2,0,no,no,no,no,no,no,4,3,5,2,4,4,0,9,10,11
F,16,GT3,T,4,2,health,services,father,2,0,no,no,no,no,yes,yes,4,2,3,1,1,3,0,17,17,18
F,16,GT3,T,2,2,other,other,mother,2,0,no,yes,no,no,yes,no,5,1,5,1,1,4,0,12,12,13
F,16,GT3,T,4,4,health,health,mother,2,0,no,yes,no,no,yes,yes,4,4,2,1,1,3,0,16,16,17
M,16,GT3,T,3,4,other,other,father,1,1,no,yes,no,yes,yes,no,3,4,5,2,4,2,4,9,9,10
M,16,GT3,T,1,0,other,other,mother,2,0,no,yes,no,yes,yes,yes,4,3,2,1,1,3,0,16,17,18
M,17,LE3,T,4,4,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,4,4,1,3,5,0,11,9,10
F,16,GT3,T,1,3,at_home,services,mother,2,0,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,14,13,13
F,16,LE3,T,3,3,other,other,mother,2,0,no,yes,no,yes,yes,no,4,4,5,1,1,4,0,14,14,15
M,17,LE3,T,4,3,teacher,other,mother,2,0,no,no,no,yes,yes,no,4,4,4,4,4,4,0,10,11,11
F,16,GT3,T,2,2,services,other,mother,2,0,no,no,no,yes,yes,no,3,4,4,1,4,5,0,13,12,14
M,17,GT3,T,3,3,other,other,father,2,0,no,no,no,yes,yes,no,4,3,4,1,4,4,4,11,9,10
M,16,GT3,T,4,2,teacher,services,mother,1,0,no,yes,no,yes,yes,yes,4,3,3,3,4,3,8,10,9,11
M,17,GT3,T,4,3,other,other,mother,2,0,no,yes,yes,yes,yes,yes,5,2,3,1,1,2,4,11,11,13
M,16,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,yes,no,3,4,3,2,3,3,4,11,10,11
M,16,GT3,T,3,3,services,other,mother,2,0,no,no,no,yes,yes,yes,4,2,3,1,2,3,0,11,12,13
F,17,GT3,T,2,4,services,services,father,2,0,no,yes,no,yes,yes,no,5,4,2,2,3,5,0,17,18,17
F,17,LE3,T,3,3,other,other,mother,2,0,no,yes,no,yes,yes,yes,5,3,3,2,3,1,32,14,13,14
F,16,GT3,T,3,2,other,other,mother,2,0,no,yes,no,no,yes,no,1,2,2,1,2,1,8,14,15,16
M,17,GT3,T,3,3,services,services,mother,2,0,no,yes,no,yes,yes,yes,4,3,4,2,3,4,6,11,13,14
M,16,GT3,T,1,2,services,services,mother,1,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,0,10,9,11
M,16,LE3,T,2,1,other,other,mother,2,0,no,no,no,yes,yes,yes,4,2,3,1,2,5,0,13,14,16
F,17,GT3,A,3,3,health,other,mother,2,0,no,yes,no,no,yes,yes,3,3,3,1,3,3,10,12,13,14
M,17,GT3,T,1,2,at_home,other,mother,2,0,no,no,no,no,yes,no,3,1,3,1,5,3,6,9,9,10
F,16,GT3,T,2,3,services,services,mother,2,0,no,no,no,no,yes,no,4,3,3,1,1,2,6,12,12,13
F,17,GT3,T,1,1,at_home,services,mother,2,0,no,no,no,yes,yes,no,5,3,3,1,1,3,0,12,11,12
M,17,GT3,T,1,2,at_home,services,other,2,0,no,no,no,yes,yes,no,4,4,4,4,5,5,16,10,11,12
M,16,GT3,T,3,3,services,services,mother,1,0,no,yes,no,yes,yes,no,4,3,2,3,4,5,0,11,10,10
M,16,GT3,T,2,3,other,other,father,1,0,no,no,no,no,yes,no,5,3,3,1,1,3,0,13,12,12
F,17,LE3,T,2,4,services,services,father,2,0,no,no,no,yes,yes,yes,4,3,2,1,1,5,8,14,15,16
M,17,GT3,T,4,4,services,teacher,mother,1,0,no,no,no,no,yes,no,5,2,3,1,2,5,4,13,13,14
M,16,LE3,T,3,3,teacher,other,father,1,0,no,yes,no,yes,yes,no,3,3,4,3,5,3,16,10,11,12
F,17,GT3,T,4,4,services,teacher,mother,1,1,no,yes,no,no,yes,no,4,2,4,2,3,2,30,14,15,16
F,16,LE3,T,4,4,teacher,teacher,mother,2,0,no,yes,no,no,yes,no,4,5,2,1,2,3,0,11,10,11
F,16,GT3,T,4,3,health,other,mother,2,0,no,yes,no,yes,yes,no,4,3,5,1,5,2,2,14,14,15
F,16,GT3,T,2,3,other,other,mother,2,0,yes,yes,no,yes,yes,no,4,4,3,1,3,4,4,11,12,12
F,17,GT3,T,1,1,other,other,mother,2,0,no,yes,no,no,yes,no,4,4,4,1,3,1,0,14,15,15
F,17,GT3,T,2,2,other,other,mother,1,0,no,yes,no,no,yes,no,5,3,2,1,2,3,21,13,13,13
F,16,GT3,T,2,2,services,services,mother,4,0,no,yes,no,yes,yes,no,5,3,5,1,1,5,6,13,13,13
F,17,GT3,T,3,4,at_home,services,mother,3,1,no,yes,yes,no,yes,yes,4,4,3,3,4,5,14,8,9,8
F,16,GT3,A,3,1,services,other,mother,2,0,no,yes,no,no,yes,no,2,3,3,2,2,4,2,11,11,12
F,16,GT3,T,4,3,teacher,other,mother,2,0,no,no,no,yes,yes,yes,1,3,2,1,1,1,4,14,15,15
F,16,GT3,T,1,1,at_home,other,mother,1,0,no,yes,no,no,yes,no,4,3,2,1,4,5,2,12,13,13
F,17,GT3,T,4,3,teacher,other,mother,3,0,no,yes,no,yes,yes,yes,4,4,2,1,1,4,0,11,12,12
F,19,GT3,T,3,3,other,other,other,4,0,no,yes,no,yes,yes,no,4,3,3,1,2,3,4,12,12,12
M,17,LE3,T,4,4,services,other,mother,2,0,no,yes,no,no,yes,yes,5,3,5,4,5,3,15,13,12,12
F,16,GT3,A,2,2,other,other,mother,2,0,yes,yes,no,no,yes,no,3,3,4,1,1,4,0,13,13,13
M,18,GT3,T,2,2,services,other,mother,2,0,no,yes,no,yes,yes,no,4,4,4,2,4,5,10,12,11,11
F,17,LE3,T,4,4,services,other,mother,1,0,no,yes,no,no,yes,no,5,2,1,1,2,3,6,12,11,11
